,av_word_frequency,categories_counts
related,15.568499594649605,19906.0
request,12.764637289978253,4474.0
offer,15.52529215854103,118.0
aid_related,17.501287522901702,10860.0
medical_help,24.590679179136668,2084.0
medical_products,27.595561618003337,1313.0
search_and_rescue,22.473725865019524,724.0
security,22.768529153865916,471.0
military,24.994156983538392,860.0
child_alone,0.0,0.0
water,24.836707633548066,1672.0
food,19.822093800173178,2923.0
shelter,22.374234064721666,2314.0
clothing,24.11598983706213,405.0
money,26.614194347360353,604.0
missing_people,26.983130929090844,298.0
refugees,30.159965531467964,875.0
death,27.95893805784082,1194.0
other_aid,17.581248525464733,3446.0
infrastructure_related,25.14954536683556,1705.0
transport,25.957513773926916,1201.0
buildings,25.637640181815318,1333.0
electricity,29.054456664555143,532.0
tools,32.94318903654694,159.0
hospitals,28.522867410362508,283.0
shops,35.04137465521121,120.0
aid_centers,37.76686806838813,309.0
other_infrastructure,24.734122733168782,1151.0
weather_related,18.815538054606268,7297.0
floods,26.64917556882804,2155.0
storm,23.17764094243105,2443.0
fire,30.94669877057174,282.0
earthquake,18.457833622063696,2455.0
cold,27.541457468948174,530.0
other_weather,23.440389941577077,1376.0
direct_report,12.557830037866001,5075.0
